GroupName,ReferenceDate,FlowBreakdown,UnitMeasure,ObservedValue,GeneralizedSource,RunDate
Africa,2021-09-01,CLOSTLV,KBBL,163870.0,OilX,2025-02-19
Africa,2021-10-01,CLOSTLV,KBBL,158109.0,OilX,2025-02-19
Africa,2021-11-01,CLOSTLV,KBBL,166862.0,OilX,2025-02-19
Africa,2021-12-01,CLOSTLV,KBBL,165257.0,OilX,2025-02-19
Africa,2022-01-01,CLOSTLV,KBBL,172419.0,OilX,2025-02-19
Africa,2022-02-01,CLOSTLV,KBBL,169082.0,OilX,2025-02-19
Africa,2022-03-01,CLOSTLV,KBBL,168550.0,OilX,2025-02-19
Africa,2022-04-01,CLOSTLV,KBBL,162684.0,OilX,2025-02-19
Africa,2022-05-01,CLOSTLV,KBBL,159287.0,OilX,2025-02-19
Africa,2022-06-01,CLOSTLV,KBBL,153067.0,OilX,2025-02-19
Africa,2022-07-01,CLOSTLV,KBBL,155859.0,OilX,2025-02-19
Africa,2022-08-01,CLOSTLV,KBBL,161961.0,OilX,2025-02-19
Africa,2022-09-01,CLOSTLV,KBBL,164392.0,OilX,2025-02-19
Africa,2022-10-01,CLOSTLV,KBBL,160873.0,OilX,2025-02-19
Africa,2022-11-01,CLOSTLV,KBBL,169209.0,OilX,2025-02-19
Africa,2022-12-01,CLOSTLV,KBBL,155924.0,OilX,2025-02-19
Africa,2023-01-01,CLOSTLV,KBBL,162826.0,OilX,2025-02-19
Africa,2023-02-01,CLOSTLV,KBBL,165093.0,OilX,2025-02-19
Africa,2023-03-01,CLOSTLV,KBBL,166939.0,OilX,2025-02-19
Africa,2023-04-01,CLOSTLV,KBBL,165550.0,OilX,2025-02-19
Africa,2023-05-01,CLOSTLV,KBBL,166926.0,OilX,2025-02-19
Africa,2023-06-01,CLOSTLV,KBBL,174453.0,OilX,2025-02-19
Africa,2023-07-01,CLOSTLV,KBBL,165990.0,OilX,2025-02-19
Africa,2023-08-01,CLOSTLV,KBBL,163346.0,OilX,2025-02-19
Africa,2023-09-01,CLOSTLV,KBBL,164977.0,OilX,2025-02-19
Africa,2023-10-01,CLOSTLV,KBBL,173208.0,OilX,2025-02-19
Africa,2023-11-01,CLOSTLV,KBBL,169785.0,OilX,2025-02-19
Africa,2023-12-01,CLOSTLV,KBBL,165607.0,OilX,2025-02-19
Africa,2024-01-01,CLOSTLV,KBBL,164597.0,OilX,2025-02-19
Africa,2024-02-01,CLOSTLV,KBBL,165093.0,OilX,2025-02-19
Africa,2024-03-01,CLOSTLV,KBBL,160527.0,OilX,2025-02-19
Africa,2024-04-01,CLOSTLV,KBBL,163291.0,OilX,2025-02-19
Africa,2024-05-01,CLOSTLV,KBBL,166046.0,OilX,2025-02-19
Africa,2024-06-01,CLOSTLV,KBBL,161982.0,OilX,2025-02-19
Africa,2024-07-01,CLOSTLV,KBBL,162870.0,OilX,2025-02-19
Africa,2024-08-01,CLOSTLV,KBBL,162194.0,OilX,2025-02-19
Africa,2024-09-01,CLOSTLV,KBBL,163559.0,OilX,2025-02-19
Africa,2024-10-01,CLOSTLV,KBBL,162581.0,OilX,2025-02-19
Africa,2024-11-01,CLOSTLV,KBBL,156631.0,OilX,2025-02-19
Africa,2024-12-01,CLOSTLV,KBBL,152445.0,OilX,2025-02-19
Africa,2025-01-01,CLOSTLV,KBBL,161768.0,OilX,2025-02-19
Africa,2025-02-01,CLOSTLV,KBBL,154897.0,OilX,2025-02-19
Africa,2010-01-01,DIRECUSE,KBD,32.0,OilX,2025-02-19
Africa,2010-02-01,DIRECUSE,KBD,32.0,OilX,2025-02-19
Africa,2010-03-01,DIRECUSE,KBD,32.0,OilX,2025-02-19
Africa,2010-04-01,DIRECUSE,KBD,33.0,OilX,2025-02-19
Africa,2010-05-01,DIRECUSE,KBD,39.0,OilX,2025-02-19
Africa,2010-06-01,DIRECUSE,KBD,41.0,OilX,2025-02-19
Africa,2010-07-01,DIRECUSE,KBD,40.0,OilX,2025-02-19
Africa,2010-08-01,DIRECUSE,KBD,32.0,OilX,2025-02-19
Africa,2010-09-01,DIRECUSE,KBD,40.0,OilX,2025-02-19
Africa,2010-10-01,DIRECUSE,KBD,32.0,OilX,2025-02-19
Africa,2010-11-01,DIRECUSE,KBD,33.0,OilX,2025-02-19
Africa,2010-12-01,DIRECUSE,KBD,33.0,OilX,2025-02-19
Africa,2011-01-01,DIRECUSE,KBD,29.0,OilX,2025-02-19
Africa,2011-02-01,DIRECUSE,KBD,31.0,OilX,2025-02-19
Africa,2011-03-01,DIRECUSE,KBD,24.0,OilX,2025-02-19
Africa,2011-04-01,DIRECUSE,KBD,24.0,OilX,2025-02-19
Africa,2011-05-01,DIRECUSE,KBD,29.0,OilX,2025-02-19
Africa,2011-06-01,DIRECUSE,KBD,28.0,OilX,2025-02-19
Africa,2011-07-01,DIRECUSE,KBD,26.0,OilX,2025-02-19
Africa,2011-08-01,DIRECUSE,KBD,27.0,OilX,2025-02-19
Africa,2011-09-01,DIRECUSE,KBD,25.0,OilX,2025-02-19
Africa,2011-10-01,DIRECUSE,KBD,31.0,OilX,2025-02-19
Africa,2011-11-01,DIRECUSE,KBD,26.0,OilX,2025-02-19
Africa,2011-12-01,DIRECUSE,KBD,25.0,OilX,2025-02-19
Africa,2012-01-01,DIRECUSE,KBD,37.0,OilX,2025-02-19
Africa,2012-02-01,DIRECUSE,KBD,42.0,OilX,2025-02-19
Africa,2012-03-01,DIRECUSE,KBD,43.0,OilX,2025-02-19
Africa,2012-04-01,DIRECUSE,KBD,35.0,OilX,2025-02-19
Africa,2012-05-01,DIRECUSE,KBD,42.0,OilX,2025-02-19
Africa,2012-06-01,DIRECUSE,KBD,45.0,OilX,2025-02-19
Africa,2012-07-01,DIRECUSE,KBD,37.0,OilX,2025-02-19
Africa,2012-08-01,DIRECUSE,KBD,37.0,OilX,2025-02-19
Africa,2012-09-01,DIRECUSE,KBD,38.0,OilX,2025-02-19
Africa,2012-10-01,DIRECUSE,KBD,35.0,OilX,2025-02-19
Africa,2012-11-01,DIRECUSE,KBD,35.0,OilX,2025-02-19
Africa,2012-12-01,DIRECUSE,KBD,35.0,OilX,2025-02-19
Africa,2013-01-01,DIRECUSE,KBD,47.0,OilX,2025-02-19
Africa,2013-02-01,DIRECUSE,KBD,43.0,OilX,2025-02-19
Africa,2013-03-01,DIRECUSE,KBD,66.0,OilX,2025-02-19
Africa,2013-04-01,DIRECUSE,KBD,59.0,OilX,2025-02-19
Africa,2013-05-01,DIRECUSE,KBD,41.0,OilX,2025-02-19
Africa,2013-06-01,DIRECUSE,KBD,47.0,OilX,2025-02-19
Africa,2013-07-01,DIRECUSE,KBD,41.0,OilX,2025-02-19
Africa,2013-08-01,DIRECUSE,KBD,41.0,OilX,2025-02-19
Africa,2013-09-01,DIRECUSE,KBD,41.0,OilX,2025-02-19
Africa,2013-10-01,DIRECUSE,KBD,44.0,OilX,2025-02-19
Africa,2013-11-01,DIRECUSE,KBD,42.0,OilX,2025-02-19
Africa,2013-12-01,DIRECUSE,KBD,43.0,OilX,2025-02-19
Africa,2014-01-01,DIRECUSE,KBD,44.0,OilX,2025-02-19
Africa,2014-02-01,DIRECUSE,KBD,52.0,OilX,2025-02-19
Africa,2014-03-01,DIRECUSE,KBD,43.0,OilX,2025-02-19
Africa,2014-04-01,DIRECUSE,KBD,54.0,OilX,2025-02-19
Africa,2014-05-01,DIRECUSE,KBD,37.0,OilX,2025-02-19
Africa,2014-06-01,DIRECUSE,KBD,50.0,OilX,2025-02-19
Africa,2014-07-01,DIRECUSE,KBD,41.0,OilX,2025-02-19
Africa,2014-08-01,DIRECUSE,KBD,38.0,OilX,2025-02-19
Africa,2014-09-01,DIRECUSE,KBD,34.0,OilX,2025-02-19
Africa,2014-10-01,DIRECUSE,KBD,50.0,OilX,2025-02-19
Africa,2014-11-01,DIRECUSE,KBD,39.0,OilX,2025-02-19
Africa,2014-12-01,DIRECUSE,KBD,49.0,OilX,2025-02-19
Africa,2015-01-01,DIRECUSE,KBD,52.0,OilX,2025-02-19
Africa,2015-02-01,DIRECUSE,KBD,32.0,OilX,2025-02-19
Africa,2015-03-01,DIRECUSE,KBD,38.0,OilX,2025-02-19
Africa,2015-04-01,DIRECUSE,KBD,46.0,OilX,2025-02-19
Africa,2015-05-01,DIRECUSE,KBD,51.0,OilX,2025-02-19
Africa,2015-06-01,DIRECUSE,KBD,45.0,OilX,2025-02-19
Africa,2015-07-01,DIRECUSE,KBD,46.0,OilX,2025-02-19
Africa,2015-08-01,DIRECUSE,KBD,43.0,OilX,2025-02-19
Africa,2015-09-01,DIRECUSE,KBD,40.0,OilX,2025-02-19
Africa,2015-10-01,DIRECUSE,KBD,35.0,OilX,2025-02-19
Africa,2015-11-01,DIRECUSE,KBD,41.0,OilX,2025-02-19
Africa,2015-12-01,DIRECUSE,KBD,40.0,OilX,2025-02-19
Africa,2016-01-01,DIRECUSE,KBD,50.0,OilX,2025-02-19
Africa,2016-02-01,DIRECUSE,KBD,54.0,OilX,2025-02-19
Africa,2016-03-01,DIRECUSE,KBD,53.0,OilX,2025-02-19
Africa,2016-04-01,DIRECUSE,KBD,48.0,OilX,2025-02-19
Africa,2016-05-01,DIRECUSE,KBD,51.0,OilX,2025-02-19
Africa,2016-06-01,DIRECUSE,KBD,51.0,OilX,2025-02-19
Africa,2016-07-01,DIRECUSE,KBD,42.0,OilX,2025-02-19
Africa,2016-08-01,DIRECUSE,KBD,47.0,OilX,2025-02-19
Africa,2016-09-01,DIRECUSE,KBD,47.0,OilX,2025-02-19
Africa,2016-10-01,DIRECUSE,KBD,51.0,OilX,2025-02-19
Africa,2016-11-01,DIRECUSE,KBD,52.0,OilX,2025-02-19
Africa,2016-12-01,DIRECUSE,KBD,54.0,OilX,2025-02-19
Africa,2017-01-01,DIRECUSE,KBD,52.0,OilX,2025-02-19
Africa,2017-02-01,DIRECUSE,KBD,56.0,OilX,2025-02-19
Africa,2017-03-01,DIRECUSE,KBD,56.0,OilX,2025-02-19
Africa,2017-04-01,DIRECUSE,KBD,48.0,OilX,2025-02-19
Africa,2017-05-01,DIRECUSE,KBD,48.0,OilX,2025-02-19
Africa,2017-06-01,DIRECUSE,KBD,51.0,OilX,2025-02-19
Africa,2017-07-01,DIRECUSE,KBD,50.0,OilX,2025-02-19
Africa,2017-08-01,DIRECUSE,KBD,47.0,OilX,2025-02-19
Africa,2017-09-01,DIRECUSE,KBD,50.0,OilX,2025-02-19
Africa,2017-10-01,DIRECUSE,KBD,49.0,OilX,2025-02-19
Africa,2017-11-01,DIRECUSE,KBD,49.0,OilX,2025-02-19
Africa,2017-12-01,DIRECUSE,KBD,84.0,OilX,2025-02-19
Africa,2018-01-01,DIRECUSE,KBD,75.0,OilX,2025-02-19
Africa,2018-02-01,DIRECUSE,KBD,70.0,OilX,2025-02-19
Africa,2018-03-01,DIRECUSE,KBD,70.0,OilX,2025-02-19
Africa,2018-04-01,DIRECUSE,KBD,70.0,OilX,2025-02-19
Africa,2018-05-01,DIRECUSE,KBD,72.0,OilX,2025-02-19
Africa,2018-06-01,DIRECUSE,KBD,62.0,OilX,2025-02-19
Africa,2018-07-01,DIRECUSE,KBD,58.0,OilX,2025-02-19
Africa,2018-08-01,DIRECUSE,KBD,62.0,OilX,2025-02-19
Africa,2018-09-01,DIRECUSE,KBD,63.0,OilX,2025-02-19
Africa,2018-10-01,DIRECUSE,KBD,66.0,OilX,2025-02-19
Africa,2018-11-01,DIRECUSE,KBD,64.0,OilX,2025-02-19
Africa,2018-12-01,DIRECUSE,KBD,70.0,OilX,2025-02-19
Africa,2019-01-01,DIRECUSE,KBD,56.0,OilX,2025-02-19
Africa,2019-02-01,DIRECUSE,KBD,59.0,OilX,2025-02-19
Africa,2019-03-01,DIRECUSE,KBD,63.0,OilX,2025-02-19
Africa,2019-04-01,DIRECUSE,KBD,62.0,OilX,2025-02-19
Africa,2019-05-01,DIRECUSE,KBD,56.0,OilX,2025-02-19
Africa,2019-06-01,DIRECUSE,KBD,55.0,OilX,2025-02-19
Africa,2019-07-01,DIRECUSE,KBD,55.0,OilX,2025-02-19
Africa,2019-08-01,DIRECUSE,KBD,57.0,OilX,2025-02-19
Africa,2019-09-01,DIRECUSE,KBD,67.0,OilX,2025-02-19
Africa,2019-10-01,DIRECUSE,KBD,66.0,OilX,2025-02-19
Africa,2019-11-01,DIRECUSE,KBD,63.0,OilX,2025-02-19
Africa,2019-12-01,DIRECUSE,KBD,65.0,OilX,2025-02-19
Africa,2020-01-01,DIRECUSE,KBD,64.0,OilX,2025-02-19
Africa,2020-02-01,DIRECUSE,KBD,65.0,OilX,2025-02-19
Africa,2020-03-01,DIRECUSE,KBD,64.0,OilX,2025-02-19
Africa,2020-04-01,DIRECUSE,KBD,61.0,OilX,2025-02-19
Africa,2020-05-01,DIRECUSE,KBD,64.0,OilX,2025-02-19
Africa,2020-06-01,DIRECUSE,KBD,66.0,OilX,2025-02-19
Africa,2020-07-01,DIRECUSE,KBD,63.0,OilX,2025-02-19
Africa,2020-08-01,DIRECUSE,KBD,60.0,OilX,2025-02-19
Africa,2020-09-01,DIRECUSE,KBD,58.0,OilX,2025-02-19
Africa,2020-10-01,DIRECUSE,KBD,60.0,OilX,2025-02-19
Africa,2020-11-01,DIRECUSE,KBD,60.0,OilX,2025-02-19
Africa,2020-12-01,DIRECUSE,KBD,64.0,OilX,2025-02-19
Africa,2021-01-01,DIRECUSE,KBD,66.0,OilX,2025-02-19
Africa,2021-02-01,DIRECUSE,KBD,65.0,OilX,2025-02-19
Africa,2021-03-01,DIRECUSE,KBD,63.0,OilX,2025-02-19
Africa,2021-04-01,DIRECUSE,KBD,64.0,OilX,2025-02-19
Africa,2021-05-01,DIRECUSE,KBD,67.0,OilX,2025-02-19
Africa,2021-06-01,DIRECUSE,KBD,63.0,OilX,2025-02-19
Africa,2021-07-01,DIRECUSE,KBD,61.0,OilX,2025-02-19
Africa,2021-08-01,DIRECUSE,KBD,62.0,OilX,2025-02-19
Africa,2021-09-01,DIRECUSE,KBD,64.0,OilX,2025-02-19
Africa,2021-10-01,DIRECUSE,KBD,67.0,OilX,2025-02-19
Africa,2021-11-01,DIRECUSE,KBD,69.0,OilX,2025-02-19
Africa,2021-12-01,DIRECUSE,KBD,63.0,OilX,2025-02-19
Africa,2022-01-01,DIRECUSE,KBD,57.0,OilX,2025-02-19
Africa,2022-02-01,DIRECUSE,KBD,68.0,OilX,2025-02-19
Africa,2022-03-01,DIRECUSE,KBD,64.0,OilX,2025-02-19
Africa,2022-04-01,DIRECUSE,KBD,61.0,OilX,2025-02-19
Africa,2022-05-01,DIRECUSE,KBD,60.0,OilX,2025-02-19
Africa,2022-06-01,DIRECUSE,KBD,65.0,OilX,2025-02-19
Africa,2022-07-01,DIRECUSE,KBD,65.0,OilX,2025-02-19
Africa,2022-08-01,DIRECUSE,KBD,64.0,OilX,2025-02-19
Africa,2022-09-01,DIRECUSE,KBD,65.0,OilX,2025-02-19
Africa,2022-10-01,DIRECUSE,KBD,63.0,OilX,2025-02-19
Africa,2022-11-01,DIRECUSE,KBD,67.0,OilX,2025-02-19
Africa,2022-12-01,DIRECUSE,KBD,69.0,OilX,2025-02-19
Africa,2023-01-01,DIRECUSE,KBD,66.0,OilX,2025-02-19
Africa,2023-02-01,DIRECUSE,KBD,68.0,OilX,2025-02-19
Africa,2023-03-01,DIRECUSE,KBD,67.0,OilX,2025-02-19
Africa,2023-04-01,DIRECUSE,KBD,69.0,OilX,2025-02-19
Africa,2023-05-01,DIRECUSE,KBD,66.0,OilX,2025-02-19
Africa,2023-06-01,DIRECUSE,KBD,68.0,OilX,2025-02-19
Africa,2023-07-01,DIRECUSE,KBD,59.0,OilX,2025-02-19
Africa,2023-08-01,DIRECUSE,KBD,61.0,OilX,2025-02-19
Africa,2023-09-01,DIRECUSE,KBD,64.0,OilX,2025-02-19
Africa,2023-10-01,DIRECUSE,KBD,62.0,OilX,2025-02-19
Africa,2023-11-01,DIRECUSE,KBD,58.0,OilX,2025-02-19
Africa,2023-12-01,DIRECUSE,KBD,60.0,OilX,2025-02-19
Africa,2024-01-01,DIRECUSE,KBD,67.0,OilX,2025-02-19
Africa,2024-02-01,DIRECUSE,KBD,67.0,OilX,2025-02-19
Africa,2024-03-01,DIRECUSE,KBD,65.0,OilX,2025-02-19
